University,lon,lat,# of Students
New York University,-73.99646,40.72951,"57,015"
CUNY Borough of Manhattan Community College,-74.01188,40.71878,"31,482"
Columbia University,-73.96257,40.80754,29073
CUNY Hunter College,-73.96463,40.76854,28535
CUNY Barnard M Baruch College,-73.98337,40.7402,22650
CUNY City College,-73.94927,40.82005,18767
Touro College,-73.99065,40.74225,18120
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,18070
Pace University,-74.00486,40.71112,14745
Fashion Institute of Technology,-73.99508,40.74748,12273
