University,lon,lat,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
New York University,-73.99646,40.72951,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
CUNY Borough of Manhattan Community College,-74.01188,40.71878,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
Columbia University,-73.96257,40.80754,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Hunter College,-73.96463,40.76854,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY Barnard M Baruch College,-73.98337,40.7402,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
CUNY City College,-73.94927,40.82005,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
Touro College,-73.99065,40.74225,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
CUNY John Jay College of Criminal Justice,-73.9885,40.77039,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Pace University,-74.00486,40.71112,
Fashion Institute of Technology,-73.99508,40.74748,
Fashion Institute of Technology,-73.99508,40.74748,
Fashion Institute of Technology,-73.99508,40.74748,
Fashion Institute of Technology,-73.99508,40.74748,
Fashion Institute of Technology,-73.99508,40.74748,
Fashion Institute of Technology,-73.99508,40.74748,
Fashion Institute of Technology,-73.99508,40.74748,
Fashion Institute of Technology,-73.99508,40.74748,
Fashion Institute of Technology,-73.99508,40.74748,
Fashion Institute of Technology,-73.99508,40.74748,
Fashion Institute of Technology,-73.99508,40.74748,
Fashion Institute of Technology,-73.99508,40.74748,
